status,gap,time_s,objective_value,active_vars,instance,method,restrictions,CPLEX_settings
integer optimal solution,0.0,0.125,290.0,"{'x_1_8': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_4_14': 1.0, 'x_5_12': 1.0, 'x_6_9': 1.0, 'x_7_18': 1.0, 'x_8_17': 1.0, 'x_9_23': 1.0, 'x_10_15': 1.0, 'x_11_4': 1.0, 'x_12_6': 1.0, 'x_13_21': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_20': 1.0, 'x_17_22': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_20_19': 1.0, 'x_21_25': 1.0, 'x_22_10': 1.0, 'x_23_1': 1.0, 'x_24_3': 1.0, 'x_25_7': 1.0}",small_instance,Actual,All,{'ns0_hf0_cuts0_ps1'}
integer optimal solution,0.0,0.116,290.0,"{'x_1_8': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_4_14': 1.0, 'x_5_12': 1.0, 'x_6_9': 1.0, 'x_7_18': 1.0, 'x_8_17': 1.0, 'x_9_23': 1.0, 'x_10_15': 1.0, 'x_11_4': 1.0, 'x_12_6': 1.0, 'x_13_21': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_20': 1.0, 'x_17_22': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_20_19': 1.0, 'x_21_25': 1.0, 'x_22_10': 1.0, 'x_23_1': 1.0, 'x_24_3': 1.0, 'x_25_7': 1.0}",small_instance,Actual,All,{'ns0_hf10_cuts0_ps1'}
integer optimal solution,0.0,0.176,290.0,"{'x_1_8': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_4_14': 1.0, 'x_5_12': 1.0, 'x_6_9': 1.0, 'x_7_18': 1.0, 'x_8_17': 1.0, 'x_9_23': 1.0, 'x_10_15': 1.0, 'x_11_4': 1.0, 'x_12_6': 1.0, 'x_13_21': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_20': 1.0, 'x_17_22': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_20_19': 1.0, 'x_21_25': 1.0, 'x_22_10': 1.0, 'x_23_1': 1.0, 'x_24_3': 1.0, 'x_25_7': 1.0}",small_instance,Actual,All,{'ns0_hf1_cuts0_ps0'}
integer optimal solution,0.0,0.568,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_19_20': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_19': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,All,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.667,250.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_22': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_10': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_15': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_11_4': 1.0, 'bici_11_21': 1.0, 'auto_18_7': 1.0, 'auto_18_8': 1.0, 'auto_18_17': 1.0, 'auto_18_20': 1.0, 'auto_18_25': 1.0, 'y_bici_11': 1.0, 'y_auto_18': 1.0}",small_instance,Nuevo,Min_No_Camion=False,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.305,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_14_2': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'auto_15_4': 1.0, 'auto_15_18': 1.0, 'auto_15_19': 1.0, 'auto_15_21': 1.0, 'auto_15_25': 1.0, 'y_auto_14': 1.0, 'y_auto_15': 1.0}",small_instance,Nuevo,Exclusivos=Disabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.574,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_19_20': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_19': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,Refrigerados=Disabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.279,258.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_18': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_19': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_13_16': 1.0, 'bici_13_21': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_6_4': 1.0, 'auto_6_5': 1.0, 'auto_6_7': 1.0, 'auto_6_20': 1.0, 'auto_6_25': 1.0, 'y_bici_13': 1.0, 'y_bici_22': 1.0, 'y_auto_6': 1.0}",small_instance,Nuevo,Precedencia=Disabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.264,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,"Min_No_Camion=Disabled, Max_Bicis=12, Max_Autos=6",{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.342,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_24': 1.0, 'auto_11_25': 1.0, 'auto_14_2': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,All restrictions disabled,{'ns0_hf1_cuts0_ps1'}
