status,gap,time_s,objective_value,active_vars,instance,method,settings
integer optimal solution,0.0,480.49,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_13_8': 1.0, 'bici_13_39': 1.0, 'auto_5_12': 1.0, 'auto_5_17': 1.0, 'auto_5_22': 1.0, 'auto_5_27': 1.0, 'auto_5_47': 1.0, 'auto_20_3': 1.0, 'auto_20_6': 1.0, 'auto_20_18': 1.0, 'auto_20_44': 1.0, 'auto_20_46': 1.0, 'auto_24_4': 1.0, 'auto_24_26': 1.0, 'auto_24_36': 1.0, 'auto_24_48': 1.0, 'auto_24_49': 1.0, 'y_bici_13': 1.0, 'y_auto_5': 1.0, 'y_auto_20': 1.0, 'y_auto_24': 1.0}",medium_instance,New,ns1_hfA_cuts0_ps1
integer optimal solution,0.0,1038.844,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_16_12': 1.0, 'bici_16_48': 1.0, 'auto_19_3': 1.0, 'auto_19_4': 1.0, 'auto_19_8': 1.0, 'auto_19_22': 1.0, 'auto_19_46': 1.0, 'auto_23_17': 1.0, 'auto_23_18': 1.0, 'auto_23_27': 1.0, 'auto_23_36': 1.0, 'auto_23_44': 1.0, 'auto_45_6': 1.0, 'auto_45_26': 1.0, 'auto_45_39': 1.0, 'auto_45_47': 1.0, 'auto_45_49': 1.0, 'y_bici_16': 1.0, 'y_auto_19': 1.0, 'y_auto_23': 1.0, 'y_auto_45': 1.0}",medium_instance,New,ns1_hfA_cuts0_ps0
integer optimal solution,0.0,385.634,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_28_3': 1.0, 'bici_28_17': 1.0, 'auto_19_4': 1.0, 'auto_19_8': 1.0, 'auto_19_44': 1.0, 'auto_19_46': 1.0, 'auto_19_47': 1.0, 'auto_33_12': 1.0, 'auto_33_18': 1.0, 'auto_33_22': 1.0, 'auto_33_48': 1.0, 'auto_33_49': 1.0, 'auto_42_6': 1.0, 'auto_42_26': 1.0, 'auto_42_27': 1.0, 'auto_42_36': 1.0, 'auto_42_39': 1.0, 'y_bici_28': 1.0, 'y_auto_19': 1.0, 'y_auto_33': 1.0, 'y_auto_42': 1.0}",medium_instance,New,ns2_hfA_cuts0_ps1
integer optimal solution,0.0,497.276,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_16_12': 1.0, 'bici_16_48': 1.0, 'auto_25_4': 1.0, 'auto_25_6': 1.0, 'auto_25_17': 1.0, 'auto_25_18': 1.0, 'auto_25_22': 1.0, 'auto_30_8': 1.0, 'auto_30_26': 1.0, 'auto_30_39': 1.0, 'auto_30_46': 1.0, 'auto_30_47': 1.0, 'auto_40_3': 1.0, 'auto_40_27': 1.0, 'auto_40_36': 1.0, 'auto_40_44': 1.0, 'auto_40_49': 1.0, 'y_bici_16': 1.0, 'y_auto_25': 1.0, 'y_auto_30': 1.0, 'y_auto_40': 1.0}",medium_instance,New,ns0_hf0_cuts0_ps1
integer optimal solution,0.0,287.349,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_2_36': 1.0, 'bici_2_49': 1.0, 'auto_30_3': 1.0, 'auto_30_8': 1.0, 'auto_30_17': 1.0, 'auto_30_26': 1.0, 'auto_30_48': 1.0, 'auto_32_4': 1.0, 'auto_32_27': 1.0, 'auto_32_39': 1.0, 'auto_32_44': 1.0, 'auto_32_46': 1.0, 'auto_34_6': 1.0, 'auto_34_12': 1.0, 'auto_34_18': 1.0, 'auto_34_22': 1.0, 'auto_34_47': 1.0, 'y_bici_2': 1.0, 'y_auto_30': 1.0, 'y_auto_32': 1.0, 'y_auto_34': 1.0}",medium_instance,New,ns0_hf1_cuts0_ps1
integer optimal solution,0.0,335.812,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_7_18': 1.0, 'bici_7_27': 1.0, 'auto_21_6': 1.0, 'auto_21_8': 1.0, 'auto_21_12': 1.0, 'auto_21_26': 1.0, 'auto_21_47': 1.0, 'auto_24_4': 1.0, 'auto_24_36': 1.0, 'auto_24_39': 1.0, 'auto_24_48': 1.0, 'auto_24_49': 1.0, 'auto_31_3': 1.0, 'auto_31_17': 1.0, 'auto_31_22': 1.0, 'auto_31_44': 1.0, 'auto_31_46': 1.0, 'y_bici_7': 1.0, 'y_auto_21': 1.0, 'y_auto_24': 1.0, 'y_auto_31': 1.0}",medium_instance,New,ns2_hf5_cuts0_ps1
integer optimal solution,0.0,335.764,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_10_27': 1.0, 'bici_10_47': 1.0, 'auto_19_4': 1.0, 'auto_19_22': 1.0, 'auto_19_26': 1.0, 'auto_19_48': 1.0, 'auto_19_49': 1.0, 'auto_20_3': 1.0, 'auto_20_17': 1.0, 'auto_20_39': 1.0, 'auto_20_44': 1.0, 'auto_20_46': 1.0, 'auto_21_6': 1.0, 'auto_21_8': 1.0, 'auto_21_12': 1.0, 'auto_21_18': 1.0, 'auto_21_36': 1.0, 'y_bici_10': 1.0, 'y_auto_19': 1.0, 'y_auto_20': 1.0, 'y_auto_21': 1.0}",medium_instance,New,ns0_hf10_cuts0_ps1
integer optimal solution,0.0,188.731,333.00000000001023,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_28_3': 1.0, 'bici_28_17': 1.0, 'auto_40_18': 1.0, 'auto_40_27': 1.0, 'auto_40_36': 1.0, 'auto_40_44': 1.0, 'auto_40_48': 1.0, 'auto_45_6': 1.0, 'auto_45_26': 1.0, 'auto_45_39': 1.0, 'auto_45_47': 1.0, 'auto_45_49': 1.0, 'auto_50_4': 1.0, 'auto_50_8': 1.0, 'auto_50_12': 1.0, 'auto_50_22': 1.0, 'auto_50_46': 1.0, 'y_bici_28': 1.0, 'y_auto_40': 1.0, 'y_auto_45': 1.0, 'y_auto_50': 1.0}",medium_instance,New,ns1_hfA_cuts1_ps1
integer optimal solution,0.0,211.349,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_30_39': 1.0, 'bici_30_46': 1.0, 'auto_5_8': 1.0, 'auto_5_12': 1.0, 'auto_5_17': 1.0, 'auto_5_18': 1.0, 'auto_5_22': 1.0, 'auto_29_4': 1.0, 'auto_29_6': 1.0, 'auto_29_26': 1.0, 'auto_29_27': 1.0, 'auto_29_47': 1.0, 'auto_40_3': 1.0, 'auto_40_36': 1.0, 'auto_40_44': 1.0, 'auto_40_48': 1.0, 'auto_40_49': 1.0, 'y_bici_30': 1.0, 'y_auto_5': 1.0, 'y_auto_29': 1.0, 'y_auto_40': 1.0}",medium_instance,New,ns2_hf5_cuts1_ps1
integer optimal solution,0.0,367.903,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_21_48': 1.0, 'bici_21_49': 1.0, 'auto_9_3': 1.0, 'auto_9_4': 1.0, 'auto_9_6': 1.0, 'auto_9_18': 1.0, 'auto_9_44': 1.0, 'auto_37_8': 1.0, 'auto_37_22': 1.0, 'auto_37_36': 1.0, 'auto_37_39': 1.0, 'auto_37_46': 1.0, 'auto_38_12': 1.0, 'auto_38_17': 1.0, 'auto_38_26': 1.0, 'auto_38_27': 1.0, 'auto_38_47': 1.0, 'y_bici_21': 1.0, 'y_auto_9': 1.0, 'y_auto_37': 1.0, 'y_auto_38': 1.0}",medium_instance,New,ns0_hf1_cuts0_ps0
